2025-09-11 17:32:49,430 - INFO - ============================================================
2025-09-11 17:32:49,431 - INFO - SISTEMA DE LOGGING INICIALIZADO
2025-09-11 17:32:49,431 - INFO - Archivo de log: logs/traffic_sim_20250911_173249.log
2025-09-11 17:32:49,431 - INFO - Nivel de logging: INFO
2025-09-11 17:32:49,431 - INFO - ============================================================
2025-09-11 17:32:49,714 - INFO - Creados 66 semáforos en total
2025-09-11 17:32:49,715 - INFO - Simulación inicializada correctamente
2025-09-11 17:32:49,715 - INFO - Configuración: 1600x1000
2025-09-11 17:32:49,715 - INFO - Calles creadas: 51
2025-09-11 17:32:49,715 - INFO - Semáforos instalados: 66
2025-09-11 17:32:49,715 - INFO - Edificios: 25
2025-09-11 17:32:49,715 - INFO - Hora inicial: 08:00
2025-09-11 17:33:06,060 - INFO - [17:33:06] SEMÁFORO (1400,600) -> VERDE
2025-09-11 17:33:06,077 - INFO - [17:33:06] SEMÁFORO (200,720) -> VERDE
2025-09-11 17:33:06,172 - INFO - [17:33:06] NUEVO TAXI - TAXI_5982 en (1200,62)
2025-09-11 17:33:06,254 - INFO - ✅ Congestión en NORTE normalizada (55.6%)
2025-09-11 17:33:06,335 - INFO - [17:33:06] SEMÁFORO (600,200) -> VERDE
2025-09-11 17:33:06,448 - INFO - ✅ Congestión en ESTE normalizada (50.0%)
2025-09-11 17:33:06,464 - INFO - [17:33:06] SEMÁFORO (100,200) -> VERDE
2025-09-11 17:33:06,480 - INFO - [17:33:06] SEMÁFORO (700,200) -> VERDE
2025-09-11 17:33:06,544 - INFO - [17:33:06] SEMÁFORO (300,100) -> VERDE
2025-09-11 17:33:06,593 - INFO - [17:33:06] SEMÁFORO (900,600) -> VERDE
2025-09-11 17:33:06,834 - INFO - [17:33:06] SEMÁFORO (100,600) -> VERDE
2025-09-11 17:33:06,966 - INFO - [17:33:06] SEMÁFORO (1300,600) -> VERDE
2025-09-11 17:33:07,015 - INFO - [17:33:07] SEMÁFORO (1000,400) -> VERDE
2025-09-11 17:33:07,128 - INFO - [17:33:07] SEMÁFORO (800,300) -> VERDE
2025-09-11 17:33:07,481 - INFO - [17:33:07] NUEVO TAXI - TAXI_7076 en (1005,604)
2025-09-11 17:33:07,593 - INFO - [17:33:07] SEMÁFORO (500,600) -> VERDE
2025-09-11 17:33:07,594 - INFO - [17:33:07] SEMÁFORO (600,340) -> VERDE
